Province/State,Country/Region,Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,Mainland China,"62,550,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,Mainland China,21710000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing,Mainland China,30750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian,Mainland China,39110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gansu,Mainland China,26260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,Mainland China,111690000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Mainland China,48850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,Mainland China,35800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan,Mainland China,9260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebei,Mainland China,59020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heilongjiang,Mainland China,37890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Mainland China,95590000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubei,Mainland China,75200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunan,Mainland China,68600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mongolia,Mainland China,25290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu,Mainland China,80290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangxi,Mainland China,46220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin,Mainland China,27170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning,Mainland China,43690000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia,Mainland China,6820000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qinghai,Mainland China,5980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi,Mainland China,38350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong,Mainland China,100060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai,Mainland China,24180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Mainland China,37020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan,Mainland China,83020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin,Mainland China,15570000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibet,Mainland China,3370000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinjiang,Mainland China,24450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Mainland China,48010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang,Mainland China,56570000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,Taiwan,23603121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seattle, WA",US,"744,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chicago, IL",US,"2,705,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,US,39512223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tempe, AZ",US,"192,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,Macau,667400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
